Column name,Category,Description,Units
PLT_CN (FIA); rteNo (BBS),ID,unique number identifying route or plot,categorical
lat (bbs only),ID,latitude,decimal degrees
lon (bbs only),ID,longitude,decimal degrees
elevation_point,geo,elevation at the point,m
MAT_point,geo,mean annual temperature at the point,C
MAP_point,geo,mean annual precipitation at the point,mm y-1
geoage_point,geo,geological age category at the point,categorical
HUC4,ID,unique number identifying HUC4 of the point,categorical
MAT_5_sd,geo,"standard deviation of MAT within 5 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_10_sd,geo,"standard deviation of MAT within 10 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_20_sd,geo,"standard deviation of MAT within 20 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_30_sd,geo,"standard deviation of MAT within 30 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_40_sd,geo,"standard deviation of MAT within 40 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_50_sd,geo,"standard deviation of MAT within 50 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_75_sd,geo,"standard deviation of MAT within 75 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_100_sd,geo,"standard deviation of MAT within 100 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_150_sd,geo,"standard deviation of MAT within 150 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_200_sd,geo,"standard deviation of MAT within 200 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_300_sd,geo,"standard deviation of MAT within 300 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_400_sd,geo,"standard deviation of MAT within 400 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_500_sd,geo,"standard deviation of MAT within 500 km radius, derived from 5 km aggregated Bioclim pixels",C
MAP_5_sd,geo,"standard deviation of MAP within 5 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_10_sd,geo,"standard deviation of MAP within 10 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_20_sd,geo,"standard deviation of MAP within 20 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_30_sd,geo,"standard deviation of MAP within 30 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_40_sd,geo,"standard deviation of MAP within 40 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_50_sd,geo,"standard deviation of MAP within 50 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_75_sd,geo,"standard deviation of MAP within 75 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_100_sd,geo,"standard deviation of MAP within 100 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_150_sd,geo,"standard deviation of MAP within 150 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_200_sd,geo,"standard deviation of MAP within 200 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_300_sd,geo,"standard deviation of MAP within 300 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_400_sd,geo,"standard deviation of MAP within 400 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_500_sd,geo,"standard deviation of MAP within 500 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
elevation_5_sd,geo,"standard deviation of elevation within 5 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_10_sd,geo,"standard deviation of elevation within 10 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_20_sd,geo,"standard deviation of elevation within 20 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_30_sd,geo,"standard deviation of elevation within 30 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_40_sd,geo,"standard deviation of elevation within 40 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_50_sd,geo,"standard deviation of elevation within 50 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_75_sd,geo,"standard deviation of elevation within 75 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_100_sd,geo,"standard deviation of elevation within 100 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_150_sd,geo,"standard deviation of elevation within 150 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_200_sd,geo,"standard deviation of elevation within 200 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_300_sd,geo,"standard deviation of elevation within 300 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_400_sd,geo,"standard deviation of elevation within 400 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_500_sd,geo,"standard deviation of elevation within 500 km radius, derived from 5 km aggregated SRTM pixels",m
MAT_5_mean,geo,"mean of MAT within 5 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_10_mean,geo,"mean of MAT within 10 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_20_mean,geo,"mean of MAT within 20 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_30_mean,geo,"mean of MAT within 30 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_40_mean,geo,"mean of MAT within 40 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_50_mean,geo,"mean of MAT within 50 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_75_mean,geo,"mean of MAT within 75 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_100_mean,geo,"mean of MAT within 100 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_150_mean,geo,"mean of MAT within 150 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_200_mean,geo,"mean of MAT within 200 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_300_mean,geo,"mean of MAT within 300 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_400_mean,geo,"mean of MAT within 400 km radius, derived from 5 km aggregated Bioclim pixels",C
MAT_500_mean,geo,"mean of MAT within 500 km radius, derived from 5 km aggregated Bioclim pixels",C
MAP_5_mean,geo,"mean of MAP within 5 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_10_mean,geo,"mean of MAP within 10 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_20_mean,geo,"mean of MAP within 20 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_30_mean,geo,"mean of MAP within 30 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_40_mean,geo,"mean of MAP within 40 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_50_mean,geo,"mean of MAP within 50 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_75_mean,geo,"mean of MAP within 75 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_100_mean,geo,"mean of MAP within 100 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_150_mean,geo,"mean of MAP within 150 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_200_mean,geo,"mean of MAP within 200 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_300_mean,geo,"mean of MAP within 300 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_400_mean,geo,"mean of MAP within 400 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
MAP_500_mean,geo,"mean of MAP within 500 km radius, derived from 5 km aggregated Bioclim pixels",mm y-1
elevation_5_mean,geo,"mean of elevation within 5 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_10_mean,geo,"mean of elevation within 10 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_20_mean,geo,"mean of elevation within 20 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_30_mean,geo,"mean of elevation within 30 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_40_mean,geo,"mean of elevation within 40 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_50_mean,geo,"mean of elevation within 50 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_75_mean,geo,"mean of elevation within 75 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_100_mean,geo,"mean of elevation within 100 km radius, derived from 5 km aggregated SRTM pixels",m
