Core ,East ,West ,woodland Caribbean,FIA Code,PLANTS Code,Common name,Genus ,Species 
,E ,W ,,10,ABIES ,Fir spp. ,Abies ,sp
X ,,W ,,11,ABAM ,Pacific silver fir ,Abies ,amabilis 
X ,E ,W ,,12,ABBA ,balsam fir ,Abies ,balsamea 
X ,,W ,,14,ABBR ,"Santa Lucia fir,",Abies ,bracteata 
X ,,W ,,15,ABCO ,white fir ,Abies ,concolor 
X ,E ,,,16,ABFR ,Fraser fir ,Abies ,fraseri 
X ,,W ,,17,ABGR ,grand fir ,Abies ,grandis 
X ,,W ,,19,ABLA ,subalpine fir ,Abies ,lasiocarpa 
X ,,W ,,18,ABLAA ,corkbark fir ,Abies ,lasiocarpa var. arizonica
X ,,W ,,20,ABMA ,California red fir ,Abies ,magnifica 
X ,,W ,,22,ABPR ,noble fir ,Abies ,procera 
X ,,W ,,21,ABSH ,Shasta red fir ,Abies ,shastensis 
,,,C ,6036,AGAU4 ,kauri ,Agathis ,australis 
,,,C ,6037,AGRO6 ,Queensland kauri,Agathis ,robusta 
,,,C ,6154,ARAN15 ,parana pine ,Araucaria ,angustifolia 
,,,C ,6157,ARHE12 ,Norfolk Island pine,Araucaria ,heterophylla 
,,,C ,6331,CACO2 ,Callitris,Callitris ,columellaris 
X ,,W ,,81,CADE27 ,incense-cedar ,Calocedrus ,decurrens 
,E ,W ,,40,CHAMA4 ,cedar spp. ,Chamaecyparis ,sp
X ,,W ,,41,CHLA ,Port-Orford-cedar,Chamaecyparis ,lawsoniana 
X ,,W ,,42,CHNO ,Alaska yellow-cedar,Chamaecyparis ,nootkatensis 
X ,E ,,,43,CHTH2 ,Atlantic white-cedar,Chamaecyparis ,thyoides 
,,,C ,6786,CRJA3 ,Japanese cedar ,Cryptomeria ,japonica 
,,,C ,6788,CULA ,Chinese fir ,Cunninghamia ,lanceolata 
,,W ,C ,50,CUPRE ,cypress ,Cupressus ,sp
X ,,W ,,51,CUAR ,Arizona cypress ,Cupressus ,arizonica 
X ,,W ,,52,CUBA ,"Baker cypress,",Cupressus ,bakeri 
X ,,W ,,53,CUFO2 ,tecate cypress ,Cupressus ,forbesii 
,,,C ,6795,CULU2 ,cedar-of-Goa ,Cupressus ,lusitanica 
X ,,W ,,56,CUMA ,MacNab's cypress,Cupressus ,macnabiana 
X ,,W ,,54,CUMA2 ,Monterey cypress,Cupressus ,macrocarpa 
,,W ,,55,CUSA3 ,Sargent’s cypress ,Cupressus ,sargentii 
,,,C ,6796,CUSE2 ,Italian cypress ,Cupressus ,sempervirens 
,,,C ,6852,CYCI3 ,queen sago ,Cycas ,circinalis 
,E ,W ,,57,JUNIP ,"redcedar, juniper spp.",Juniperus ,sp
X ,E ,,w ,61,JUAS ,Ashe juniper ,Juniperus ,ashei 
X ,,W ,w ,62,JUCA7 ,California juniper ,Juniperus ,californica 
X ,,W ,w ,59,JUCO11 ,redberry juniper ,Juniperus ,coahuilensis 
X ,,W ,w ,63,JUDE2 ,alligator juniper ,Juniperus ,deppeana 
,E ,,w ,60,JUFL ,drooping juniper ,Juniperus ,flaccida 
X ,,W ,w ,69,JUMO ,oneseed juniper ,Juniperus ,monosperma 
X ,,W ,,64,JUOC ,western juniper ,Juniperus ,occidentalis 
X ,,W ,w ,65,JUOS ,Utah juniper ,Juniperus ,osteosperma 
X ,,W ,w ,58,JUPI ,Pinchot juniper ,Juniperus ,pinchotii 
X ,E ,W ,w ,66,JUSC2 ,Rocky Mountain juniper,Juniperus ,scopulorum 
X ,E ,,,68,JUVI ,eastern redcedar ,Juniperus ,virginiana 
,E ,,,67,JUVIS ,southern redcedar,Juniperus ,virginiana var. silicicola
,E ,W ,,70,LARIX ,larch spp. ,Larix ,sp
X ,E ,W ,,71,LALA ,tamarack (native),Larix ,laricina 
X ,,W ,,72,LALY ,subalpine larch ,Larix ,lyallii 
X ,,W ,,73,LAOC ,western larch ,Larix ,occidentalis 
,E ,W ,,90,PICEA ,spruce spp. ,Picea ,sp
X ,E ,,,91,PIAB ,Norway spruce ,Picea ,abies 
X ,,W ,,92,PIBR ,Brewer spruce ,Picea ,breweriana 
X ,,W ,,93,PIEN ,Engelmann spruce,Picea ,engelmannii 
X ,E ,W ,,94,PIGL ,white spruce ,Picea ,glauca 
X ,E ,W ,,95,PIMA ,black spruce ,Picea ,mariana 
X ,E ,W ,,96,PIPU ,blue spruce ,Picea ,pungens 
X ,E ,,,97,PIRU ,red spruce ,Picea ,rubens 
X ,,W ,,98,PISI ,Sitka spruce ,Picea ,sitchensis 
,E ,W ,C ,100,PINUS ,pine spp. ,Pinus ,sp
X ,,W ,,101,PIAL ,whitebark pine ,Pinus ,albicaulis 
X ,,W ,,102,PIAR ,Rocky Mountain bristlecone pine,Pinus ,aristata 
X ,,W ,,135,PIAR5 ,Arizona pine ,Pinus ,arizonica 
X ,,W ,,103,PIAT ,knobcone pine ,Pinus ,attenuata 
X ,,W ,,104,PIBA ,foxtail pine ,Pinus ,balfouriana 
