"Core","East","West","woodland.Caribbean","FIA.Code","PLANTS.Code","Common.name","Genus","Species","AccSpeciesName","AccSpeciesID","ObsNum","ObsGRNum","MeasNum","MeasGRNum","TraitNum"
"X ","","W ","",11,"ABAM ","Pacific silver fir ","Abies","amabilis","Abies amabilis",30,162,44,535,137,99
"X ","E ","W ","",12,"ABBA ","balsam fir ","Abies","balsamea","Abies balsamea",32,518,281,2644,1496,150
"X ","","W ","",14,"ABBR ","Santa Lucia fir,","Abies","bracteata","Abies bracteata",35,21,47,26,NA,NA
"X ","","W ","",15,"ABCO ","white fir ","Abies","concolor","Abies concolor",39,256,99,854,514,114
"X ","E ","","",16,"ABFR ","Fraser fir ","Abies","fraseri","Abies fraseri",48,118,19,500,166,78
"X ","","W ","",17,"ABGR ","grand fir ","Abies","grandis","Abies grandis",50,176,14,389,68,118
"X ","","W ","",19,"ABLA ","subalpine fir ","Abies","lasiocarpa","Abies lasiocarpa",56,276,154,1321,946,144
"X ","","W ","",18,"ABLAA ","corkbark fir ","Abies","lasiocarpavar.arizonica","Abies lasiocarpavar.arizonica",NA,NA,NA,NA,NA,NA
"X ","","W ","",20,"ABMA ","California red fir ","Abies","magnifica","Abies magnifica",57,91,10,272,42,79
"X ","","W ","",22,"ABPR ","noble fir ","Abies","procera","Abies procera",67,148,17,296,8,92
"X ","","W ","",21,"ABSH ","Shasta red fir ","Abies","shastensis","Abies shastensis",64964,3,86,45,NA,NA
"X ","","W ","",81,"CADE27 ","incense-cedar ","Calocedrus","decurrens","Calocedrus decurrens",9622,80,8,224,32,82
"X ","","W ","",41,"CHLA ","Port-Orford-cedar","Chamaecyparis","lawsoniana","Chamaecyparis lawsoniana",11983,123,6,385,48,101
"X ","","W ","",42,"CHNO ","Alaska yellow-cedar","Chamaecyparis","nootkatensis","Chamaecyparis nootkatensis",11984,46,2,155,5,61
"X ","E ","","",43,"CHTH2 ","Atlantic white-cedar","Chamaecyparis","thyoides","Chamaecyparis thyoides",11988,45,1,168,3,61
"X ","","W ","",51,"CUAR ","Arizona cypress ","Cupressus","arizonica","Cupressus arizonica",15925,47,2,148,6,56
"X ","","W ","",52,"CUBA ","Baker cypress,","Cupressus","bakeri","Cupressus bakeri",15926,13,20,11,NA,NA
"X ","","W ","",53,"CUFO2 ","tecate cypress ","Cupressus","forbesii","Cupressus forbesii",15930,13,3,59,39,34
"X ","","W ","",56,"CUMA ","MacNab's cypress","Cupressus","macnabiana","Cupressus macnabiana",15936,20,1,37,3,16
"X ","","W ","",54,"CUMA2 ","Monterey cypress","Cupressus","macrocarpa","Cupressus macrocarpa",15937,43,3,77,9,27
"X ","E ","","w ",61,"JUAS ","Ashe juniper ","Juniperus","ashei","Juniperus ashei",31548,22,7,112,82,26
"X ","","W ","w ",62,"JUCA7 ","California juniper ","Juniperus","californica","Juniperus californica",31552,29,5,107,59,39
"X ","","W ","w ",59,"JUCO11 ","redberry juniper ","Juniperus","coahuilensis","Juniperus coahuilensis",31555,12,21,9,NA,NA
"X ","","W ","w ",63,"JUDE2 ","alligator juniper ","Juniperus","deppeana","Juniperus deppeana",31558,78,41,325,269,49
"X ","","W ","w ",69,"JUMO ","oneseed juniper ","Juniperus","monosperma","Juniperus monosperma",31572,125,52,680,380,100
"X ","","W ","",64,"JUOC ","western juniper ","Juniperus","occidentalis","Juniperus occidentalis",31575,75,5,259,49,74
"X ","","W ","w ",65,"JUOS ","Utah juniper ","Juniperus","osteosperma","Juniperus osteosperma",31577,123,59,673,478,103
"X ","","W ","w ",58,"JUPI ","Pinchot juniper ","Juniperus","pinchotii","Juniperus pinchotii",31581,18,4,66,39,25
"X ","E ","W ","w ",66,"JUSC2 ","Rocky Mountain juniper","Juniperus","scopulorum","Juniperus scopulorum",31590,101,53,579,385,98
"X ","E ","","",68,"JUVI ","eastern redcedar ","Juniperus","virginiana","Juniperus virginiana",31598,152,76,773,419,104
"X ","E ","W ","",71,"LALA ","tamarack (native)","Larix","laricina","Larix laricina",32372,348,104,1700,564,121
"X ","","W ","",72,"LALY ","subalpine larch ","Larix","lyallii","Larix lyallii",32374,85,15,308,90,64
"X ","","W ","",73,"LAOC ","western larch ","Larix","occidentalis","Larix occidentalis",32376,139,8,447,71,94
"X ","E ","","",91,"PIAB ","Norway spruce ","Picea","abies","Picea abies",41907,4264,2745,11790,7804,341
"X ","","W ","",92,"PIBR ","Brewer spruce ","Picea","breweriana","Picea breweriana",41913,32,1,136,3,55
"X ","","W ","",93,"PIEN ","Engelmann spruce","Picea","engelmannii","Picea engelmannii",41917,190,70,793,411,127
"X ","E ","W ","",94,"PIGL ","white spruce ","Picea","glauca","Picea glauca",41920,348,74,1950,769,164
"X ","E ","W ","",95,"PIMA ","black spruce ","Picea","mariana","Picea mariana",41927,4151,3674,13216,11567,159
"X ","E ","W ","",96,"PIPU ","blue spruce ","Picea","pungens","Picea pungens",41937,126,6,361,47,106
"X ","E ","","",97,"PIRU ","red spruce ","Picea","rubens","Picea rubens",41939,403,295,1927,1449,122
"X ","","W ","",98,"PISI ","Sitka spruce ","Picea","sitchensis","Picea sitchensis",41942,1121,819,2888,1922,235
"X ","","W ","",101,"PIAL ","whitebark pine ","Pinus","albicaulis","Pinus albicaulis",42092,74,6,279,66,92
"X ","","W ","",102,"PIAR ","Rocky Mountain bristlecone pine","Pinus","aristata","Pinus aristata",42093,110,35,541,198,81
"X ","","W ","",135,"PIAR5 ","Arizona pine ","Pinus","arizonica","Pinus arizonica",42094,4,4,4,NA,NA
"X ","","W ","",103,"PIAT ","knobcone pine ","Pinus","attenuata","Pinus attenuata",42097,30,1,59,4,27
"X ","","W ","",104,"PIBA ","foxtail pine ","Pinus","balfouriana","Pinus balfouriana",42099,43,70,24,NA,NA
"X ","E ","","",105,"PIBA2 ","jack pine ","Pinus","banksiana","Pinus banksiana",42100,4077,3355,14759,10462,177
"X ","","W ","w ",140,"PICE ","Mexican pinyon pine","Pinus","cembroides","Pinus cembroides",42106,44,21,289,164,64
"X ","E ","","",107,"PICL ","sand pine ","Pinus","clausa","Pinus clausa",42109,105,61,335,151,70
"X ","","W ","",108,"PICO ","lodgepole pine ","Pinus","contorta","Pinus contorta",42110,441,130,1723,614,173
"X ","","W ","",109,"PICO3 ","Coulter pine ","Pinus","coulteri","Pinus coulteri",42111,42,1,162,4,67
"X ","","W ","w ",134,"PIDI3 ","border pinyon ","Pinus","discolor","Pinus discolor",93450,5,16,14,NA,NA
"X ","E ","","",110,"PIEC2 ","shortleaf pine ","Pinus","echinata","Pinus echinata",42118,56,6,251,44,87
"X ","","W ","w ",106,"PIED ","Common pinyon,","Pinus","edulis","Pinus edulis",42119,147,60,761,373,99
"X ","E ","","",111,"PIEL ","slash pine ","Pinus","elliottii","Pinus elliottii",42120,164,72,800,298,102
"X ","E ","","",144,"PIELE2 ","Caribbean pine ","Pinus","elliottiivar.elliottii","Pinus elliottiivar.elliottii",NA,NA,NA,NA,NA,NA
"X ","","W ","",112,"PIEN2 ","Apache pine ","Pinus","engelmannii","Pinus engelmannii",42121,18,33,18,NA,NA
"X ","","W ","",113,"PIFL2 ","limber pine ","Pinus","flexilis","Pinus flexilis",42124,88,30,470,296,99
"X ","E ","","",115,"PIGL2 ","spruce pine ","Pinus","glabra","Pinus glabra",42126,98,61,307,153,63
"X ","","W ","",116,"PIJE ","Jeffrey pine ","Pinus","jeffreyi","Pinus jeffreyi",42135,83,8,314,35,89
"X ","","W ","",117,"PILA ","sugar pine ","Pinus","lambertiana","Pinus lambertiana",42140,86,12,213,13,74
"X ","","W ","",118,"PILE ","Chihuahuan pine ","Pinus","leiophylla","Pinus leiophylla",42144,23,44,20,NA,NA
"X ","","W ","",142,"PILO ","Great Basin bristlecone pine","Pinus","longaeva","Pinus longaeva",42145,26,45,21,NA,NA
"X ","","W ","w ",133,"PIMO ","singleleaf pinyon ","Pinus","monophylla","Pinus monophylla",42153,71,7,305,85,93
"X ","","W ","w ",143,"PIMOF ","Arizona pinyon pine","Pinus","monophyllavar.fallax","Pinus monophyllavar.fallax",NA,NA,NA,NA,NA,NA
"X ","","W ","",119,"PIMO3 ","western white pine","Pinus","monticola","Pinus monticola",42156,177,7,480,9,90
"X ","","W ","",120,"PIMU ","bishop pine ","Pinus","muricata","Pinus muricata",42158,50,19,246,112,67
"X ","E ","","",136,"PINI ","Austrian pine ","Pinus","nigra","Pinus nigra",42159,1333,904,4131,3142,180
"X ","E ","","",121,"PIPA2 ","longleaf pine ","Pinus","palustris","Pinus palustris",42162,160,93,575,310,105
"X ","E ","W ","",122,"PIPO ","ponderosa pine ","Pinus","ponderosa","Pinus ponderosa",42168,507,224,2654,1304,165
"X ","E ","","",123,"PIPU5 ","Table Mountain pine","Pinus","pungens","Pinus pungens",42172,32,2,138,7,59
"X ","","W ","w ",138,"PIQU ","four-leaf pine,","Pinus","quadrifolia","Pinus quadrifolia",42173,19,40,20,NA,NA
"X ","","W ","",124,"PIRA2 ","Monterey pine ","Pinus","radiata","Pinus radiata",42174,378,99,2344,910,123
"X ","E ","","",125,"PIRE ","red pine ","Pinus","resinosa","Pinus resinosa",42175,265,59,1337,413,145
"X ","E ","","",126,"PIRI ","pitch pine ","Pinus","rigida","Pinus rigida",42176,105,9,396,98,102
"X ","","W ","",127,"PISA2 ","gray pine,","Pinus","sabiniana","Pinus sabiniana",42179,46,2,190,7,76
"X ","E ","","",128,"PISE ","pond pine ","Pinus","serotina","Pinus serotina",42180,59,6,304,88,78
"X ","","W ","",114,"PIST3 ","southwestern white pine","Pinus","strobiformis","Pinus strobiformis",42183,140,69,498,411,41
"X ","E ","","",129,"PIST ","eastern white pine","Pinus","strobus","Pinus strobus",42184,666,209,2825,816,189
"X ","E ","W ","",130,"PISY ","Scotch pine ","Pinus","sylvestris","Pinus sylvestris",42185,6000,4450,19292,15207,392
"X ","E ","","",131,"PITA ","loblolly pine ","Pinus","taeda","Pinus taeda",42188,652,392,2892,2126,149
"X ","","W ","",139,"PITO ","Torrey pine ","Pinus","torreyana","Pinus torreyana",42195,28,56,30,NA,NA
