Order,Common name,Latin name,ESA,Watchlist/
,,,,Concern
Anseriformes,,,,
,Fulvous Whistling-Duck,Dendrocygna bicolor ,,
,Greater White-fronted Goose,Anser albifrons,,
,Snow Goose,Chen caerulescens ,,
,Ross's Goose,Chen rossii ,,
,Brant,Branta bernicla ,,
,Cackling Goose,Branta hutchinsii,,
,Canada Goose,Branta canadensis ,,
,Wood Duck,Aix sponsa,,
,Gadwall,Anas strepera ,,
,American Wigeon,Anas americana ,,
,Mallard,Anas platyrhynchos ,,
,Blue-winged Teal,Anas discors ,,
,Cinnamon Teal,Anas cyanoptera ,,
,Northern Shoveler,Anas clypeata  ,,
,Northern Pintail,Anas acuta ,,
,Green-winged Teal,Anas crecca  ,,
,Canvasback,Aythya valisineria ,,
,Redhead,Aythya americana ,,
,Ring-necked Duck,Aythya collaris ,,
,Lesser Scaup,Aythya affinis ,,
,Surf Scoter,Melanitta perspicillata ,,
,Bufflehead,Bucephala albeola ,,
,Common Goldeneye,Bucephala clangula ,,
,Common Merganser,Mergus merganser ,,
,Red-breasted Merganser,Mergus serrator ,,
,Ruddy Duck,Oxyura jamaicensis ,,
Gaviiformes,,,,
,Red-throated Loon,Gavia stellata ,,
,Pacific Loon,Gavia pacifica ,,
,Common Loon,Gavia immer ,,
Podicipediformes,,,,
,Pied-billed Grebe,Podilymbus podiceps,,
,Eared Grebe,Podiceps nigricollis ,,
,Western Grebe,Aechmophorus occidentalis ,,
,Clark's Grebe,Aechmophorus clarkii ,,X
Procellariiformes,,,,
,Leach's Storm-Petrel,Oceanodroma leucorhoa ,,
,Ashy Storm-Petrel,Oceanodroma homochroa ,,X
,Black Storm-Petrel,Oceanodroma melania ,,X
Pelecaniformes,,,,
,American White Pelican,Pelecanus erythrorhynchos ,,
,Double-crested Cormorant,Phalacrocorax auritus ,,
,Anhinga,Anhinga anhinga ,,
Ciconiiformes,,,,
,American Bittern,Botaurus lentiginosus,,
,Least Bittern,Ixobrychus exilis ,,
,Great Blue Heron,Ardea herodias ,,
,Great Egret,Ardea alba ,,
,Snowy Egret,Egretta thula ,,
,Little Blue Heron,Egretta caerulea ,,
,Tricolored Heron,Egretta tricolor ,,
,Reddish Egret *,Egretta rufescens  *,,X
,Cattle Egret,Bubulcus ibis ,,
,Green Heron,Butorides virescens ,,
,Black-crowned Night-Heron,Nycticorax nycticorax ,,
,Yellow-crowned Night-Heron,Nyctanassa violacea ,,
,White Ibis,Eudocimus albus ,,
,Glossy Ibis,Plegadis falcinellus ,,
,White-faced Ibis,Plegadis chihi ,,
,Roseate Spoonbill,Platalea ajaja ,,
,Wood Stork,Mycteria americana ,E,
Falconiformes,,,,
,Black Vulture,Coragyps atratus ,,
,Turkey Vulture,Cathartes aura ,,
,Osprey,Pandion haliaetus ,,
,Swallow-tailed Kite,Elanoides forficatus ,,X
,Mississippi Kite,Ictinia mississippiensis ,,
,Northern Harrier,Circus cyaneus ,,
,Sharp-shinned Hawk,Accipiter striatus ,,
,Cooper's Hawk,Accipiter cooperii ,,
,Common Black-Hawk,Buteogallus anthracinus ,,
,Red-shouldered Hawk,Buteo lineatus ,,
,Broad-winged Hawk,Buteo platypterus ,,
,Gray Hawk,Buteo nitidus ,,
,Swainson's Hawk,Buteo swainsoni ,,X
,Zone-tailed Hawk,Buteo albonotatus ,,
,Red-tailed Hawk,Buteo jamaicensis ,,
,Ferruginous Hawk,Buteo regalis ,,
,Golden Eagle,Aquila chrysaetos ,,
,American Kestrel,Falco sparverius ,,
,Merlin,Falco columbarius ,,
,Peregrine Falcon,Falco peregrinus ,,X
,Prairie Falcon,Falco mexicanus  ,,
Gruiformes,,,,
,Black Rail,Laterallus jamaicensis ,,X
,King Rail,Rallus elegans ,,X
,Virginia Rail,Rallus limicola ,,
,Sora,Porzana carolina ,,
,Purple Gallinule,Porphyrio martinica ,,
,Common Moorhen,Gallinula chloropus ,,
,American Coot,Fulica americana ,,
,Sandhill Crane,Grus canadensis ,(e),
Charadriiformes,,,,
,Black-bellied Plover,Pluvialis squatarola ,,
,American Golden-Plover,Pluvialis dominica ,,X
,Snowy Plover,Charadrius alexandrinus ,(t),X
,Wilson's Plover,Charadrius wilsonia ,,X
,Semipalmated Plover,Charadrius semipalmatus ,,
,Piping Plover,Charadrius melodus ,"T,E",
,Killdeer,Charadrius vociferus ,,
,Mountain Plover *,Charadrius montanus  *,,X
,American Oystercatcher,Haematopus palliatus ,,X
,Black-necked Stilt,Himantopus mexicanus ,,
,American Avocet,Recurvirostra americana ,,
,Spotted Sandpiper,Actitis macularius,,
,Solitary Sandpiper,Tringa solitaria  ,,X
,Wandering Tattler,Tringa incana ,,X
,Greater Yellowlegs,Tringa melanoleuca ,,
,Willet,Tringa semipalmata,,
,Lesser Yellowlegs,Tringa flavipes ,,X
,Upland Sandpiper,Bartramia longicauda ,,X
,Eskimo Curlew,Numenius borealis ,E,
,Whimbrel,Numenius phaeopus ,,X
,Long-billed Curlew *,Numenius americanus  *,,X
,Hudsonian Godwit *,Limosa haemastica  *,,X
,Marbled Godwit,Limosa fedoa ,,X
,Ruddy Turnstone,Arenaria interpres ,,
,Black Turnstone,Arenaria melanocephala ,,X
,Surfbird,Aphriza virgata ,,X
,Red Knot *,Calidris canutus  *,,X
,Sanderling,Calidris alba ,,X
,Semipalmated Sandpiper,Calidris pusilla ,,X
,Western Sandpiper,Calidris mauri ,,X
,Least Sandpiper,Calidris minutilla ,,
,White-rumped Sandpiper,Calidris fuscicollis ,,X
,Baird's Sandpiper,Calidris bairdii ,,
,Pectoral Sandpiper,Calidris melanotos ,,
,Dunlin,Calidris alpina ,,X
,Stilt Sandpiper,Calidris himantopus ,,X
,Buff-breasted Sandpiper *,Tryngites subruficollis  *,,X
,Short-billed Dowitcher,Limnodromus griseus ,,X
,Long-billed Dowitcher,Limnodromus scolopaceus ,,
,Wilson's Snipe,Gallinago delicata ,,
,Wilson's Phalarope,Phalaropus tricolor ,,
,Red-necked Phalarope,Phalaropus lobatus ,,
,Red Phalarope,Phalaropus fulicarius ,,
,Laughing Gull,Larus atricilla ,,
,Franklin's Gull,Larus pipixcan ,,
,Bonaparte's Gull,Larus philadelphia ,,
,Ring-billed Gull,Larus delawarensis ,,
,California Gull,Larus californicus ,,
,Herring Gull,Larus argentatus ,,
,Western Gull,Larus occidentalis ,,
,Glaucous-winged Gull,Larus glaucescens ,,
,Sabine's Gull,Xema sabini ,,
,Black-legged Kittiwake,Rissa tridactyla ,,
,Least Tern,Sternula antillarum ,(e),X
,Gull-billed Tern,Gelochelidon nilotica,,X
,Caspian Tern,Hydroprogne caspia,,
,Black Tern,Chlidonias niger ,,
,Roseate Tern,Sterna dougallii ,"T,E",
,Common Tern,Sterna hirundo ,,
,Arctic Tern,Sterna paradisaea ,,
,Forster's Tern,Sterna forsteri ,,
,Royal Tern,Thalasseus maximus,,
,Sandwich Tern,Thalasseus sandvicensis ,,
,Elegant Tern,Thalasseus elegans ,,X
,Black Skimmer,Rynchops niger ,,X
,Pomarine Jaeger,Stercorarius pomarinus ,,
,Parasitic Jaeger,Stercorarius parasiticus ,,
,Long-tailed Jaeger,Stercorarius longicaudus ,,
,Xantus's Murrelet,Synthliboramphus hypoleucus ,,X
,Rhinoceros Auklet,Cerorhinca monocerata ,,
Columbiformes,,,,
,White-crowned Pigeon,Patagioenas leucocephala ,,X
,Red-billed Pigeon,Patagioenas flavirostris ,,
,Band-tailed Pigeon,Patagioenas fasciata ,,
,White-winged Dove,Zenaida asiatica ,,
,Mourning Dove,Zenaida macroura ,,
Cuculiformes,,,,
,Yellow-billed Cuckoo,Coccyzus americanus ,,X
,Mangrove Cuckoo,Coccyzus minor ,,X
,Black-billed Cuckoo,Coccyzus erythropthalmus ,,
Strigiformes,,,,
,Flammulated Owl,Otus flammeolus ,,X
,Elf Owl,Micrathene whitneyi ,,X
,Burrowing Owl,Athene cunicularia ,,
,Long-eared Owl,Asio otus ,,
,Short-eared Owl,Asio flammeus ,,X
Caprimulgiformes,,,,
,Lesser Nighthawk,Chordeiles acutipennis ,,
,Common Nighthawk,Chordeiles minor ,,
,Antillean Nighthawk,Chordeiles gundlachii ,,X
,Common Poorwill,Phalaenoptilus nuttallii ,,
,Chuck-will's-widow,Caprimulgus carolinensis ,,
,Buff-collared Nighjar,Caprimulgus ridgwayi,,
,Eastern Whip-poor-will,Caprimulgus vociferus ,,
,Mexican Whip-poor-will,Caprimulgus arizonae,,
Apodiformes,,,,
,Black Swift,Cypseloides niger ,,X
,Chimney Swift,Chaetura pelagica ,,
,Vaux's Swift,Chaetura vauxi ,,
,White-throated Swift,Aeronautes saxatalis ,,
,Broad-billed Hummingbird,Cynanthus latirostris ,,
,Buff-bellied Hummingbird,Amazilia yucatanensis ,,
,Violet-crowned Hummingbird,Amazilia violiceps ,,
,Blue-throated Hummingbird,Lampornis clemenciae ,,X
,Magnificent Hummingbird,Eugenes fulgens ,,
,Lucifer Hummingbird,Calothorax lucifer ,,
,Ruby-throated Hummingbird,Archilochus colubris ,,
,Black-chinned Hummingbird,Archilochus alexandri ,,
,Anna's Hummingbird,Calypte anna ,,
,Costa's Hummingbird,Calypte costae ,,X
,Calliope Hummingbird,Stellula calliope ,,X
,Broad-tailed Hummingbird,Selasphorus platycercus ,,
,Rufous Hummingbird,Selasphorus rufus ,,X
,Allen's Hummingbird,Selasphorus sasin ,,X
Trogoniformes,,,,
,Elegant Trogon,Trogon elegans ,,X
Coraciiformes,,,,
,Belted Kingfisher,Megaceryle alcyon ,,
Piciformes,,,,
,Williamson's Sapsucker,Sphyrapicus thyroideus ,,X
,Yellow-bellied Sapsucker,Sphyrapicus varius ,,
,Red-naped Sapsucker,Sphyrapicus nuchalis ,,
,Red-breasted Sapsucker,Sphyrapicus ruber ,,
,Northern Flicker,Colaptes auratus ,,
Passeriformes,,,,
,Northern Beardless-Tyrannulet,Camptostoma imberbe ,,
,Olive-sided Flycatcher,Contopus cooperi ,,X
,Greater Pewee,Contopus pertinax ,,
,Western Wood-Pewee,Contopus sordidulus ,,
,Eastern Wood-Pewee,Contopus virens ,,
,Yellow-bellied Flycatcher,Empidonax flaviventris ,,
,Acadian Flycatcher,Empidonax virescens ,,
,Alder Flycatcher,Empidonax alnorum ,,
